points,threads,pi,time
100,2,2.88000000,0.00000000
1000,2,3.04000000,0.00000000
10000,2,3.13360000,0.00000000
100000,2,3.15692000,0.00100080
1000000,2,3.14027200,0.01099830
10000000,2,3.14037280,0.09508690
100000000,2,3.14174352,0.95907110
1000000000,2,3.14159452,9.48218820
100,4,3.08000000,0.00000000
1000,4,3.19200000,0.00000000
10000,4,3.11560000,0.00000000
100000,4,3.13544000,0.00100050
1000000,4,3.14276400,0.00399890
10000000,4,3.14169840,0.05320700
100000000,4,3.14165632,0.52566370
1000000000,4,3.14157994,5.14794620
100,8,2.92000000,0.00000000
1000,8,3.16000000,0.00000000
10000,8,3.12600000,0.00099930
100000,8,3.15044000,0.00000000
1000000,8,3.14190800,0.00300060
10000000,8,3.14167040,0.03199820
100000000,8,3.14155972,0.30526740
1000000000,8,3.14165296,3.06662990
100,16,3.04000000,0.00000000
1000,16,3.17200000,0.00000000
10000,16,3.12520000,0.00100310
100000,16,3.13912000,0.00000000
1000000,16,3.14276800,0.00299650
10000000,16,3.14212440,0.03050680
100000000,16,3.14152096,0.26012970
1000000000,16,3.14158196,2.62192640
100,32,3.36000000,0.00000000
1000,32,3.08400000,0.00000000
10000,32,3.14040000,0.00000000
100000,32,3.14200000,0.00000000
1000000,32,3.14118400,0.00300020
10000000,32,3.14176760,0.02751370
100000000,32,3.14163492,0.27321970
1000000000,32,3.14155455,2.56350390
100,64,1.88000000,0.00000000
1000,64,3.02400000,0.00000000
10000,64,3.12360000,0.00000000
100000,64,3.14884000,0.00099950
1000000,64,3.13814000,0.00200000
10000000,64,3.14114760,0.02651650
100000000,64,3.14156604,0.26403140
1000000000,64,3.14158609,2.93627920
